ifr-lib.interia.pl,2,0,920
api.interia.nsaudience.pl,3,0,1814
interiaao.hit.gemius.pl,4,0,172
pre.glotgrx.com,1,0,26
emisja.contentstream.pl,6,0,70063
fakty.interia.pl,9,0,85416
ding.interia.pl,1,0,0
pagead2.googlesyndication.com,1,0,28253
hub.com.pl,4,0,15444
w.iplsc.com,2,0,546
e.hub.com.pl,11,0,248335
bmi-online.pl,3,77,11613
stat4v.pl,3,0,60
get.x-link.pl,1,0,4315
js.iplsc.com,3,0,5960
n-4-5.dcs.redcdn.pl,1,0,46381
r.dcs.redcdn.pl,2,0,2
d.iplsc.com,2,0,6755
interia.hit.gemius.pl,2,0,572
static.criteo.net,2,0,86
